Player,Nation,Club,BD,UCL,WC,EC,SAC,AFC,ASC
K. NAVAS,CRC,PSG,15/12/1986,3,,,,,
A. HAKIMI,MAR,PSG,04/11/1998,1,,,,,
P. KIMPEMBE,FRA,PSG,13/08/1995,,1,,,,
S. RAMOS,ESP,PSG,30/03/1986,4,1,2,,,
MARQUINHOS,BRA,PSG,14/05/1994,,,,1,,
M. VERRATI,ITA,PSG,05/11/1992,,,1,,,
L. PAREDES,ARG,PSG,29/06/1994,,,,1,,
K. MBAPPE,FRA,PSG,20/12/1998,,1,,,,
NEYMAR,BRA,PSG,05/02/1992,1,,,,,
A. DI MARIA,ARG,PSG,14/02/1988,1,,,1,,
D. PEREIRA,POR,PSG,09/09/1991,,,1,,,
G. WIJNALDUM,NED,PSG,11/11/1990,1,,,,,
A. DIALO,SEN,PSG,04/05/1996,,,,,1,
J. DRAXLER,GER,PSG,20/09/1993,,1,,,,
I. GUEYE,SEN,PSG,26/09/1989,,,,,1,
L. MESSI,ARG,PSG,24/06/1987,4,,,1,,
G. DONNARUMMA,ITA,PSG,25/02/1999,,,1,,,
G. JESUS,BRA,MCY,03/04/1997,,,,1,,
B. MENDY,FRA,MCY,17/07/1994,,1,,,,
FERNANDINHO,BRA,MCY,04/05/1985,,,,1,,
R. MAHREZ,ALG,MCY,21/02/1991,,,,,1,
EDERSON,BRA,MCY,17/08/1993,,,,1,,
D. CARVAJAL,ESP,RM,11/01/1992,5,,,,,
E. MILITAO,BRA,RM,18/01/1998,1,,,1,,
D. ALABA,AUT,RM,24/06/1992,3,,,,,
J. VALLEJO,ESP,RM,05/01/1997,2,,,,,
NACHO,ESP,RM,18/01/1990,5,,,,,
T. KROOS,GER,RM,04/01/1990,5,1,,,,
K. BENZEMA,FRA,RM,19/12/1987,5,,,,,
L. MODRIC,CRO,RM,09/09/1985,5,,,,,
M. ASENSIO,ESP,RM,21/01/1996,3,,,,,
MARCELO,BRA,RM,12/05/1988,5,,,,,
CASEMIRO,BRA,RM,23/02/1992,5,,,1,,
L. VAZQUEZ,ESP,RM,01/07/1991,4,,,,,
G. BALE,WAL,RM,16/07/1989,5,,,,,
D. CEBALLOS,ESP,RM,07/08/1996,2,,,,,
ISCO,ESP,RM,21/04/1992,5,,,,,
M. DIAZ,ESP,RM,01/08/1993,2,,,,,
ALISSON,BRA,LIV,02/10/1992,1,,,1,,
FABINHO,BRA,LIV,23/10/1993,1,,,,,
V. VAN DIJK,NED,LIV,08/07/1991,1,,,,,
T. ALCANTARA,ESP,LIV,11/04/1991,2,,,,,
J. MILNER,ENG,LIV,04/01/1986,1,,,,,
N. KEITA,GUI,LIV,10/02/1995,1,,,,,
R. FIRMINO,BRA,LIV,02/10/1991,1,,,1,,
S. MANE,SEN,LIV,10/04/1992,1,,,,1,
M. SALAH,EGY,LIV,15/06/1992,1,,,,,
J. GOMEZ,ENG,LIV,23/05/1997,1,,,,,
J. HENDERSON,ENG,LIV,17/06/1990,1,,,,,
A. OXLADE-CHAMBERLAIN,ENG,LIV,15/08/1993,1,,,,,
A. ROBERTSON,SCO,LIV,11/03/1994,1,,,,,
D. ORIGI,BEL,LIV,18/04/1995,1,,,,,
J. MATIP,CMR,LIV,08/08/1991,1,,,,,
C. KELLEHER,IRL,LIV,23/11/1998,1,,,,,
T. ALEXANDER-ARNOLD,ENG,LIV,07/10/1998,1,,,,,
K. ARRIZABALAGA,ESP,CHE,03/10/1994,1,,,,,
A. RUDIGER,GER,CHE,03/03/1993,1,,,,,
M. ALONSO,ESP,CHE,28/12/1990,1,,,,,
